Time,DKe_wind,SE2_wind,SE4_wind
16/01/2015 22:00,0.6266224,0.4372469,0.7210458
16/01/2015 23:00,0.4903581,0.3650957,0.8399754
17/01/2015 00:00,0.8112636,0.2298159,0.789314
17/01/2015 01:00,0.3744013,0.2703105,0.6279566
17/01/2015 02:00,0.4791621,0.1853524,0.5027811
17/01/2015 03:00,0.3771739,0.1009774,0.3475349
17/01/2015 04:00,0.2925361,0.1411027,0.2952125
17/01/2015 05:00,0.2859932,0.1573667,0.2707608
17/01/2015 06:00,0.5120535,0.1434556,0.2416837
17/01/2015 07:00,0.3875297,0.1501835,0.304731
17/01/2015 08:00,0.3820384,0.1695662,0.2494551
17/01/2015 09:00,0.489607,0.1337395,0.2772097
17/01/2015 10:00,0.3552905,0.1457919,0.2555888
17/01/2015 11:00,0.4023248,0.06932179,0.2683189
17/01/2015 12:00,0.3434106,0.04984999,0.2503042
17/01/2015 13:00,0.4111665,0.09103164,0.3118544
17/01/2015 14:00,0.3294978,0.1021492,0.434621
17/01/2015 15:00,0.3929519,0.06567475,0.5967636
17/01/2015 16:00,0.6048512,0.09752052,0.4690161
17/01/2015 17:00,0.6659793,0.07772417,0.3574063
17/01/2015 18:00,0.5681216,0.1559701,0.4428428
17/01/2015 19:00,0.6638835,0.1650014,0.4138
17/01/2015 20:00,0.4964464,0.1263425,0.3672858
17/01/2015 21:00,0.5354449,0.1641685,0.4425316
17/01/2015 22:00,0.6484227,0.1264899,0.4246204
17/01/2015 23:00,0.3355814,0.08287638,0.4097053
18/01/2015 00:00,0.3975175,0.07882454,0.2739348
18/01/2015 01:00,0.3584498,0.02776098,0.3045556
18/01/2015 02:00,0.3654614,0.03558061,0.2739971
18/01/2015 03:00,0.3874005,0.05111915,0.1665529
18/01/2015 04:00,0.3277929,0.04235902,0.2139534
18/01/2015 05:00,0.3602628,0.01130483,0.1922437
18/01/2015 06:00,0.4250845,0.006040571,0.1880731
18/01/2015 07:00,0.4816631,0,0.2348952
18/01/2015 08:00,0.5252025,0,0.269215
18/01/2015 09:00,0.4795043,0,0.4244805
18/01/2015 10:00,0.2638504,0,0.6340957
18/01/2015 11:00,0.2686826,0,0.6227568
18/01/2015 12:00,0.3506046,0.000598827,0.5124902
18/01/2015 13:00,0.3587513,0.03311476,0.6389546
18/01/2015 14:00,0.2339316,0.08812635,0.6930957
18/01/2015 15:00,0.3877832,0.09644503,0.6559408
18/01/2015 16:00,0.3383441,0.05438002,0.4968112
18/01/2015 17:00,0.2616799,0.06633444,0.4484409
18/01/2015 18:00,0.2848599,0.07315288,0.5192879
18/01/2015 19:00,0.2882928,0.03629318,0.5789424
18/01/2015 20:00,0.197652,0.04159021,0.471636
18/01/2015 21:00,0.1599226,0.05303675,0.5272935
18/01/2015 22:00,0.115576,0.05835324,0.4178687
18/01/2015 23:00,0.07665894,0.05566622,0.3640652
19/01/2015 00:00,0.06206341,0.06513398,0.2646473
19/01/2015 01:00,0.0278598,0.09953928,0.2036546
19/01/2015 02:00,0,0.1136327,0.2505729
19/01/2015 03:00,0.008720892,0.1464379,0.2391426
19/01/2015 04:00,0.02306169,0.1223962,0.1234522
19/01/2015 05:00,0.0252552,0.05778679,0.09746712
19/01/2015 06:00,0.00323475,0.06450148,0.2180809
19/01/2015 07:00,0.04690991,0.09598549,0.1288442
19/01/2015 08:00,0.06977934,0.106663,0.1476639
19/01/2015 09:00,0.04186514,0.1831786,0.1752946
19/01/2015 10:00,0.04865555,0.1025253,0.1648709
19/01/2015 11:00,0.02721135,0.2405817,0.1970869
19/01/2015 12:00,0.03397137,0.2323532,0.2013376
19/01/2015 13:00,0.02199387,0.2285896,0.2352792
19/01/2015 14:00,0.02517283,0.2164697,0.2196206
19/01/2015 15:00,0.01800421,0.1553316,0.3059762
19/01/2015 16:00,0.07126446,0.1029277,0.2221026
19/01/2015 17:00,0.07992974,0.05803743,0.3849746
19/01/2015 18:00,0.1263327,0.04489771,0.2839259
19/01/2015 19:00,0.08850785,0.04777746,0.2972888
19/01/2015 20:00,0.1604572,0.000263841,0.407376
19/01/2015 21:00,0.1861826,0,0.3704673
19/01/2015 22:00,0.1345071,0,0.2738239
19/01/2015 23:00,0.1388384,0,0.2162384
20/01/2015 00:00,0.1580448,0.001076737,0.3056897
20/01/2015 01:00,0.2073767,0,0.2659829
20/01/2015 02:00,0.2341489,0,0.2705554
20/01/2015 03:00,0.1494721,0,0.2146901
20/01/2015 04:00,0.08840208,0,0.2164536
20/01/2015 05:00,0.1278325,0,0.2769131
20/01/2015 06:00,0.0907987,0,0.2581528
20/01/2015 07:00,0.08653629,0.007326107,0.2473205
20/01/2015 08:00,0.05529194,0.04030318,0.1489342
20/01/2015 09:00,0.1265768,0.02270501,0.1282564
20/01/2015 10:00,0.1407136,0.023741,0.1234424
20/01/2015 11:00,0.0700812,0.0132716,0.1394989
20/01/2015 12:00,0.02728362,0.01223123,0.1101063
20/01/2015 13:00,0,0.01669889,0.105263
20/01/2015 14:00,0.03063426,0.04309051,0.05433108
20/01/2015 15:00,0.03556092,0.08115018,0.1039961
20/01/2015 16:00,0.007293377,0.1346923,0.1901222
20/01/2015 17:00,0.005893687,0.1830747,0.1210708
20/01/2015 18:00,0.0565649,0.3275317,0.1036954
20/01/2015 19:00,0.05103502,0.2568052,0.08766184
20/01/2015 20:00,0.00976751,0.1526262,0.1105249
20/01/2015 21:00,0.004604509,0.1789331,0.07556149
20/01/2015 22:00,0,0.1800429,0.08210677
20/01/2015 23:00,0,0.2737152,0.03638781
21/01/2015 00:00,0,0.1882358,0.04062589
21/01/2015 01:00,0,0.2535501,0.005840198
21/01/2015 02:00,0.003584128,0.2113702,0.003188642
21/01/2015 03:00,0,0.1997255,0.007686368
21/01/2015 04:00,0.00102719,0.129807,0.03956999
21/01/2015 05:00,0.000783535,0.1354258,0.02603397
21/01/2015 06:00,0.007853053,0.1517843,0.08028752
21/01/2015 07:00,0,0.1805623,0.03782013
21/01/2015 08:00,0,0.189581,0.07705542
21/01/2015 09:00,0,0.1797919,0.06527133
21/01/2015 10:00,0,0.11422,0.03653733
21/01/2015 11:00,0,0.164074,0.007425657
21/01/2015 12:00,0,0.1295074,0
21/01/2015 13:00,0,0.1403094,0
21/01/2015 14:00,0.002403231,0.1911024,0.000497479
21/01/2015 15:00,0.009086508,0.1337151,0.002723525
21/01/2015 16:00,0,0.1050953,0
21/01/2015 17:00,0.001979852,0.1459696,0
21/01/2015 18:00,0,0.1312009,0.006836156
21/01/2015 19:00,0,0.1161716,0
21/01/2015 20:00,0.003682272,0.1165979,0
21/01/2015 21:00,0,0.07911866,0.000941294
21/01/2015 22:00,0.009884917,0.1115444,0
21/01/2015 23:00,0.01857276,0.09759767,0
22/01/2015 00:00,0.03684003,0.09530842,0
22/01/2015 01:00,0.06108353,0.06433195,0
22/01/2015 02:00,0.04110634,0.02384652,0
22/01/2015 03:00,0.05616152,0.03749993,0
22/01/2015 04:00,0.07026392,0.04347592,0
22/01/2015 05:00,0.03695129,0.01402071,0
22/01/2015 06:00,0.04433997,0.01389995,0.005000764
22/01/2015 07:00,0.0782557,0.05155669,0.01776754
22/01/2015 08:00,0.08832449,0.06314435,0.00700401
22/01/2015 09:00,0.1021296,0.04457127,0
22/01/2015 10:00,0.09113645,0.01105396,0
22/01/2015 11:00,0.08949722,0.004313146,0
22/01/2015 12:00,0.02590651,0.03465094,0
22/01/2015 13:00,0.01360459,0.006275859,0
22/01/2015 14:00,0.008408878,0,0
22/01/2015 15:00,0.02502291,0,0
22/01/2015 16:00,0,0.02796975,0
22/01/2015 17:00,0,0.03313616,0
22/01/2015 18:00,0,0.03585195,0
22/01/2015 19:00,0,0.02100299,0
22/01/2015 20:00,0,0.01403821,0
22/01/2015 21:00,0,0.01142977,0
22/01/2015 22:00,0,0.007608489,0
22/01/2015 23:00,0,0,0
23/01/2015 00:00,0.003254384,0,0
23/01/2015 01:00,0.004242293,0,0
23/01/2015 02:00,0,0,0
23/01/2015 03:00,0,0,0
23/01/2015 04:00,0.007346008,0,0.007081212
23/01/2015 05:00,0,0,0.006947125
23/01/2015 06:00,0,0,0.02866543
23/01/2015 07:00,0,0,0.05016346
23/01/2015 08:00,0,0,0.04366414
23/01/2015 09:00,0,0,0.05274395
23/01/2015 10:00,0,0,0.02306861
23/01/2015 11:00,0,0,0.0071539
23/01/2015 12:00,0,0,0.0049419
23/01/2015 13:00,0,0,0
23/01/2015 14:00,0,0,0
23/01/2015 15:00,0,0.005098387,0
23/01/2015 16:00,0,0.02564124,0
23/01/2015 17:00,0,0.03340395,0
23/01/2015 18:00,0,0.07548155,0
23/01/2015 19:00,0,0.05875755,0
23/01/2015 20:00,0,0.1419069,0
23/01/2015 21:00,0.03064389,0.2462046,0
23/01/2015 22:00,0.06350432,0.2349325,0
23/01/2015 23:00,0.07771216,0.320117,0.01019592
24/01/2015 00:00,0.2461062,0.2272961,0.01831835
24/01/2015 01:00,0.1292022,0.3301219,0
24/01/2015 02:00,0.358251,0.3293622,0
24/01/2015 03:00,0.3979422,0.2519115,0.001826509
24/01/2015 04:00,0.3667382,0.3533567,0.1053444
24/01/2015 05:00,0.3509253,0.4400103,0.2781185
24/01/2015 06:00,0.5179355,0.4720916,0.2998482
24/01/2015 07:00,0.3186122,0.4692581,0.3079454
24/01/2015 08:00,0.2967598,0.4696323,0.2460692
24/01/2015 09:00,0.3766398,0.4249979,0.321763
24/01/2015 10:00,0.261861,0.4484036,0.2762952
24/01/2015 11:00,0.3003501,0.2840031,0.2113444
24/01/2015 12:00,0.200931,0.3223285,0.150831
24/01/2015 13:00,0.2377481,0.5070812,0.1372667
24/01/2015 14:00,0.132381,0.4193234,0.1358707
