Time,DKe_wind,SE2_wind,SE4_wind
16/01/2015 03.00,0.95,0.6767038,0.95
16/01/2015 04.00,0.95,0.7603772,0.95
16/01/2015 05.00,0.95,0.7004363,0.95
16/01/2015 06.00,0.95,0.7281789,0.95
16/01/2015 07.00,0.95,0.8098834,0.95
16/01/2015 08.00,0.95,0.7241954,0.95
16/01/2015 09.00,0.95,0.9047087,0.9499999
16/01/2015 10.00,0.95,0.9060107,0.95
16/01/2015 11.00,0.95,0.7733224,0.95
16/01/2015 12.00,0.95,0.7908512,0.95
16/01/2015 13.00,0.95,0.5474956,0.9499999
16/01/2015 14.00,0.9499999,0.3911576,0.95
16/01/2015 15.00,0.95,0.474404,0.9499999
16/01/2015 16.00,0.9499999,0.6052163,0.9499999
16/01/2015 17.00,0.9390005,0.4837333,0.95
16/01/2015 18.00,0.8382156,0.4204957,0.95
16/01/2015 19.00,0.7484079,0.3221299,0.95
16/01/2015 20.00,0.6732493,0.633376,0.95
16/01/2015 21.00,0.6558589,0.7641198,0.7926384
16/01/2015 22.00,0.6266224,0.4372469,0.7210458
16/01/2015 23.00,0.4903581,0.3650957,0.8399754
17/01/2015 00.00,0.8112636,0.2298159,0.789314
17/01/2015 01.00,0.3744013,0.2703105,0.6279566
17/01/2015 02.00,0.4791621,0.1853524,0.5027811
17/01/2015 03.00,0.3771739,0.1009774,0.3475349
17/01/2015 04.00,0.2925361,0.1411027,0.2952125
17/01/2015 05.00,0.2859932,0.1573667,0.2707608
17/01/2015 06.00,0.5120535,0.1434556,0.2416837
17/01/2015 07.00,0.3875297,0.1501835,0.304731
17/01/2015 08.00,0.3820384,0.1695662,0.2494551
17/01/2015 09.00,0.489607,0.1337395,0.2772097
17/01/2015 10.00,0.3552905,0.1457919,0.2555888
17/01/2015 11.00,0.4023248,0.06932179,0.2683189
17/01/2015 12.00,0.3434106,0.04984999,0.2503042
17/01/2015 13.00,0.4111665,0.09103164,0.3118544
17/01/2015 14.00,0.3294978,0.1021492,0.434621
17/01/2015 15.00,0.3929519,0.06567475,0.5967636
17/01/2015 16.00,0.6048512,0.09752052,0.4690161
17/01/2015 17.00,0.6659793,0.07772417,0.3574063
17/01/2015 18.00,0.5681216,0.1559701,0.4428428
17/01/2015 19.00,0.6638835,0.1650014,0.4138
17/01/2015 20.00,0.4964464,0.1263425,0.3672858
17/01/2015 21.00,0.5354449,0.1641685,0.4425316
17/01/2015 22.00,0.6484227,0.1264899,0.4246204
17/01/2015 23.00,0.3355814,0.08287638,0.4097053
18/01/2015 00.00,0.3975175,0.07882454,0.2739348
18/01/2015 01.00,0.3584498,0.02776098,0.3045556
18/01/2015 02.00,0.3654614,0.03558061,0.2739971
18/01/2015 03.00,0.3874005,0.05111915,0.1665529
18/01/2015 04.00,0.3277929,0.04235902,0.2139534
18/01/2015 05.00,0.3602628,0.01130483,0.1922437
18/01/2015 06.00,0.4250845,0.006040571,0.1880731
18/01/2015 07.00,0.4816631,0,0.2348952
18/01/2015 08.00,0.5252025,0,0.269215
18/01/2015 09.00,0.4795043,0,0.4244805
18/01/2015 10.00,0.2638504,0,0.6340957
18/01/2015 11.00,0.2686826,0,0.6227568
18/01/2015 12.00,0.3506046,0.000598827,0.5124902
18/01/2015 13.00,0.3587513,0.03311476,0.6389546
18/01/2015 14.00,0.2339316,0.08812635,0.6930957
18/01/2015 15.00,0.3877832,0.09644503,0.6559408
18/01/2015 16.00,0.3383441,0.05438002,0.4968112
18/01/2015 17.00,0.2616799,0.06633444,0.4484409
18/01/2015 18.00,0.2848599,0.07315288,0.5192879
18/01/2015 19.00,0.2882928,0.03629318,0.5789424
18/01/2015 20.00,0.197652,0.04159021,0.471636
18/01/2015 21.00,0.1599226,0.05303675,0.5272935
18/01/2015 22.00,0.115576,0.05835324,0.4178687
18/01/2015 23.00,0.07665894,0.05566622,0.3640652
19/01/2015 00.00,0.06206341,0.06513398,0.2646473
19/01/2015 01.00,0.0278598,0.09953928,0.2036546
19/01/2015 02.00,0,0.1136327,0.2505729
19/01/2015 03.00,0.008720892,0.1464379,0.2391426
19/01/2015 04.00,0.02306169,0.1223962,0.1234522
19/01/2015 05.00,0.0252552,0.05778679,0.09746712
19/01/2015 06.00,0.00323475,0.06450148,0.2180809
19/01/2015 07.00,0.04690991,0.09598549,0.1288442
19/01/2015 08.00,0.06977934,0.106663,0.1476639
19/01/2015 09.00,0.04186514,0.1831786,0.1752946
19/01/2015 10.00,0.04865555,0.1025253,0.1648709
19/01/2015 11.00,0.02721135,0.2405817,0.1970869
19/01/2015 12.00,0.03397137,0.2323532,0.2013376
19/01/2015 13.00,0.02199387,0.2285896,0.2352792
19/01/2015 14.00,0.02517283,0.2164697,0.2196206
19/01/2015 15.00,0.01800421,0.1553316,0.3059762
19/01/2015 16.00,0.07126446,0.1029277,0.2221026
19/01/2015 17.00,0.07992974,0.05803743,0.3849746
19/01/2015 18.00,0.1263327,0.04489771,0.2839259
19/01/2015 19.00,0.08850785,0.04777746,0.2972888
19/01/2015 20.00,0.1604572,0.000263841,0.407376
19/01/2015 21.00,0.1861826,0,0.3704673
19/01/2015 22.00,0.1345071,0,0.2738239
19/01/2015 23.00,0.1388384,0,0.2162384
20/01/2015 00.00,0.1580448,0.001076737,0.3056897
20/01/2015 01.00,0.2073767,0,0.2659829
20/01/2015 02.00,0.2341489,0,0.2705554
