HourUTC,HourDK,PriceArea,TotalLoad,Biomass,FossilGas,FossilHardCoal,FossilOil,HydroPower,OtherRenewable,SolarPower,Waste,OnshoreWindPower,OffshoreWindPower,ExchangeContinent,ExchangeGreatBelt,ExchangeNordicCountries
2022-01-01T23:00:00+00:00,2022-01-02T00:00:00,DK1,2048.41,148.87,125.58,307.3,12.4,1.79,2.21,0.57,90.91,1488.04,1038.45,-399,317,-796
2022-01-01T23:00:00+00:00,2022-01-02T00:00:00,DK2,1302.23,215.84,86.07,135.98,35.59,,,0,84.62,274.24,911.85,-585,-317,519
2022-01-02T00:00:00+00:00,2022-01-02T01:00:00,DK1,1932.61,160.69,121.63,273.43,11.03,1.79,2.07,0.57,90.12,1446.3,916.89,-426,332,-762
2022-01-02T00:00:00+00:00,2022-01-02T01:00:00,DK2,1240.31,200.79,86.04,135.83,34.8,,,0,84.55,313.57,920.72,-583,-332,432
2022-01-02T01:00:00+00:00,2022-01-02T02:00:00,DK1,1898.98,166.23,129.67,237.66,10.96,1.79,2.07,0.57,89.21,1350.2,942.34,-254,266,-836
2022-01-02T01:00:00+00:00,2022-01-02T02:00:00,DK2,1228.9,187.12,85.98,135.71,34.78,,,0,83.97,393.41,918.61,-520,-266,246
2022-01-02T02:00:00+00:00,2022-01-02T03:00:00,DK1,1906.87,192.96,119.43,241.8,11.13,1.79,2.08,0.56,90.03,1195.42,925.42,459,150,-1169
2022-01-02T02:00:00+00:00,2022-01-02T03:00:00,DK2,1186.4,190.9,83.59,131.86,34.05,,,0,84.76,298.83,927.53,48,-150,-386
2022-01-02T03:00:00+00:00,2022-01-02T04:00:00,DK1,1876.34,214.69,125.32,251.45,12.01,1.79,2.18,0.57,89.52,1201.99,912.42,260,300,-1238
2022-01-02T03:00:00+00:00,2022-01-02T04:00:00,DK2,1186.27,206.04,83.51,131.78,34.03,,,0,83.92,366.74,913.95,468,-300,-728
2022-01-02T04:00:00+00:00,2022-01-02T05:00:00,DK1,1942.81,154.89,130.62,239.4,11.98,1.79,2.18,0.57,89.26,1282.7,949.92,530,164,-1353
2022-01-02T04:00:00+00:00,2022-01-02T05:00:00,DK2,1206,189.15,85.31,134.69,34.49,,,0,84.42,355.18,881.3,564,-164,-884
2022-01-02T05:00:00+00:00,2022-01-02T06:00:00,DK1,1989.48,189.85,131.42,241.86,12.11,1.79,2.18,0.57,88.74,1294.73,846.79,801,35,-1383
2022-01-02T05:00:00+00:00,2022-01-02T06:00:00,DK2,1270.92,205.38,86.02,135.91,34.21,,,0,85.87,328.86,832.97,813,-35,-1170
2022-01-02T06:00:00+00:00,2022-01-02T07:00:00,DK1,2116.97,163.03,131.49,239.61,12.04,1.79,2.17,0.57,89.4,1255.24,819.76,637,427,-1396
2022-01-02T06:00:00+00:00,2022-01-02T07:00:00,DK2,1337.94,259.7,86.2,136.1,34.24,,,0,85.45,323.84,840.17,817,-427,-770
2022-01-02T07:00:00+00:00,2022-01-02T08:00:00,DK1,2286.18,237.87,143.94,272.5,12.05,1.8,2.2,0.57,90.82,1170.21,687.05,750,441,-1336
2022-01-02T07:00:00+00:00,2022-01-02T08:00:00,DK2,1435.63,310.36,88.82,140.32,35.06,,,0,86.09,341.26,892.15,817,-441,-785
2022-01-02T08:00:00+00:00,2022-01-02T09:00:00,DK1,2373.42,255.49,153.98,283.9,11.88,1.79,1.89,2.72,90.97,1039.95,634.21,724,313,-954
2022-01-02T08:00:00+00:00,2022-01-02T09:00:00,DK2,1531.51,319.26,93.47,147.96,36.53,,,0.69,86.18,344.87,899.68,831,-313,-863
